,(1+p),(1-p),(x*x),(x*z),(x+z),(x-z),(z*z),(z-x),expected_post,p,post-init,x,z
119,1.35,0.65,361,19,20,18,1,-18,54.324,0.35,53.324,19,1
120,1.82,0.18,1,17,18,-16,289,16,18.246,0.82,1.2459999999999987,1,17
121,1.74,0.26,9,33,14,-8,121,8,15.074,0.74,4.074,3,11
122,1.86,0.14,400,40,22,18,4,-18,25.208,0.86,23.208,20,2
123,1.56,0.44,9,6,5,1,4,-1,7.368,0.56,5.368,3,2
124,1.51,0.49,400,300,35,5,225,-5,53.444,0.51,38.444,20,15
125,1.23,0.77,225,165,26,4,121,-4,77.546,0.23,66.546,15,11
126,1.79,0.21,36,96,22,-10,256,10,23.578,0.79,7.577999999999999,6,16
127,1.27,0.73,196,112,22,6,64,-6,60.228,0.27,52.228,14,8
128,1.31,0.69,121,198,29,-7,324,7,53.33,0.31,35.33,11,18
129,1.16,0.84,144,96,20,4,64,-4,83.596,0.16,75.596,12,8
130,1.9,0.1,16,0,4,4,0,-4,4.438,0.9,4.438,4,0
131,1.94,0.06,36,18,9,3,9,-3,9.354,0.94,6.353999999999999,6,3
132,1.95,0.05,196,252,32,-4,324,4,32.742,0.95,14.741999999999997,14,18
133,1.31,0.69,49,126,25,-11,324,11,40.382,0.31,22.381999999999998,7,18
134,1.85,0.15,289,306,35,-1,324,1,38.086,0.85,20.086,17,18
135,1.48,0.52,289,272,33,1,256,-1,51.478,0.48,35.478,17,16
136,1.84,0.16,169,208,29,-3,256,3,31.504,0.84,15.504000000000001,13,16
137,1.12,0.88,400,220,31,9,121,-9,178.95,0.12,167.95,20,11
138,1.11,0.89,361,266,33,5,196,-5,187.762,0.11,173.762,19,14
