,(1+p),(1-p),(x*x),(x*y),(x+y),(x-y),(y*y),(y-x),expected_post,p,post-init,x,y
106,1.74,0.26,0,0,0,0,0,0,0.49,0.74,0.49,0,0
107,1.65,0.35,1,1,2,0,1,0,0.494,0.65,-0.506,1,1
108,1.73,0.27,1,1,2,0,1,0,0.478,0.73,-0.522,1,1
109,1.91,0.09,1,1,2,0,1,0,0.508,0.91,-0.492,1,1
110,1.39,0.61,0,0,0,0,0,0,0.508,0.39,0.508,0,0
111,1.13,0.87,1,1,2,0,1,0,0.488,0.13,-0.512,1,1
112,1.93,0.07,1,1,2,0,1,0,0.476,0.93,-0.524,1,1
113,1.26,0.74,1,1,2,0,1,0,0.48,0.26,-0.52,1,1
114,1.84,0.16,0,0,0,0,0,0,0.5,0.84,0.5,0,0
115,1.35,0.65,0,0,0,0,0,0,0.478,0.35,0.478,0,0
